decision_id,run_id,run_name,run_status,input_fingerprint,event_index,as_of_time,mode,bot_id,bot_name,base_personality,llm_provider,model,prompt_version,prompt_hash,action,ticker,quantity,limit_price,confidence,speculative,reasoning_length,headline_used,evidence_count,evidence_url_count,risk_checked,risk_approved,risk_blocked,risk_reason,fill_count,fill_qty_total,fill_avg_price,current_price,next_event_price,return_next_event,signed_return_next_event,directional_correct_next_event,intent_mark_pnl_next_event,benchmark_symbol,benchmark_price,benchmark_next_event_price,benchmark_return_next_event,excess_return_vs_benchmark_next_event,beat_benchmark_next_event,headline_count,real_headline_count,synthetic_headline_count,ticker_headline_count,macro_headline_count,filing_headline_count,earnings_headline_count,headline_source_count,headline_sources,headline_age_minutes_min,headline_age_minutes_avg,has_real_news,has_synthetic_market_summary,news_context_quality,event_spy_return_1d,event_qqq_return_1d,event_tlt_return_1d,event_gld_return_1d,event_risk_regime,event_trend_regime,event_volatility_regime,event_breadth_proxy,ticker_return_1d,ticker_return_5d,ticker_return_20d,ticker_rolling_volatility_20d,ticker_volume_ratio_20d,ticker_gap_from_previous_close,ticker_distance_from_20d_ma
523,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,bear-001-openai,BearBot (OpenAI),BearBot,openai,gpt-5.4-mini,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,HOLD,,,,0.86,0,166,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
524,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,1,2026-02-19T21:00:00,replay,macro-001-openai,MacroBot (OpenAI),MacroBot,openai,gpt-5.4-mini,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.89,0,163,,0,0,0,,0,,0,0,,,,,,,,SPY,684.48,689.43,0.00723177,,,18,18,0,0,1,1,1,5,Federal Reserve;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,594.6667,1,0,news_enriched,-0.002637,-0.00383,0.001005,0.002793,neutral,unknown,unknown,0.396825,,,,,,,
147,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,2,2026-02-20T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.2,0,143,,0,0,0,,0,,0,0,,,,,,,,SPY,689.43,682.39,-0.01021133,,,27,27,0,0,2,6,1,7,BEA;Federal Reserve;SEC EDGAR;benzinga.com;cnbc.com;fool.com;yahoo.com,60.0,1384.6667,1,0,news_enriched,0.007232,0.008849,-0.002343,0.019715,risk_on,unknown,low,0.587302,,,,,,,
148,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,2,2026-02-20T21:00:00,replay,bear-001-claude,BearBot (Claude),BearBot,claude,claude-sonnet-5,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,NVDA,100,,0.6,0,166,Prediction: These 2 Artificial Intelligence (AI) Stocks Will Soar After Feb. 26 (Hint: Not Nvidia),0,0,1,1,0,approved,0,0,,189.82,191.55,0.0091139,-0.0091139,0,-173.00005,SPY,689.43,682.39,-0.01021133,0.00109743,1,27,27,0,0,2,6,1,7,BEA;Federal Reserve;SEC EDGAR;benzinga.com;cnbc.com;fool.com;yahoo.com,60.0,1384.6667,1,0,news_enriched,0.007232,0.008849,-0.002343,0.019715,risk_on,unknown,low,0.587302,0.010218,,,0.007526,1.224992,-0.007078,0.006647
149,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,2,2026-02-20T21:00:00,replay,macro-001-claude,MacroBot (Claude),MacroBot,claude,claude-sonnet-5,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.3,0,218,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,689.43,682.39,-0.01021133,,,27,27,0,0,2,6,1,7,BEA;Federal Reserve;SEC EDGAR;benzinga.com;cnbc.com;fool.com;yahoo.com,60.0,1384.6667,1,0,news_enriched,0.007232,0.008849,-0.002343,0.019715,risk_on,unknown,low,0.587302,,,,,,,
525,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,2,2026-02-20T21:00:00,replay,analyst-001-openai,AnalystBot (OpenAI),AnalystBot,openai,gpt-5.4-mini,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.72,0,159,Microsoft Locks In 20% Of OpenAI,0,0,0,,0,,0,0,,,,,,,,SPY,689.43,682.39,-0.01021133,,,27,27,0,0,2,6,1,7,BEA;Federal Reserve;SEC EDGAR;benzinga.com;cnbc.com;fool.com;yahoo.com,60.0,1384.6667,1,0,news_enriched,0.007232,0.008849,-0.002343,0.019715,risk_on,unknown,low,0.587302,,,,,,,
526,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,2,2026-02-20T21:00:00,replay,bear-001-openai,BearBot (OpenAI),BearBot,openai,gpt-5.4-mini,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,NVDA,100,,0.67,0,148,[1h ago] [yahoo.com] Prediction: These 2 Artificial Intelligence (AI) Stocks Will Soar After Feb. 26 (Hint: Not Nvidia),0,0,1,1,0,approved,0,0,,189.82,191.55,0.0091139,-0.0091139,0,-173.00005,SPY,689.43,682.39,-0.01021133,0.00109743,1,27,27,0,0,2,6,1,7,BEA;Federal Reserve;SEC EDGAR;benzinga.com;cnbc.com;fool.com;yahoo.com,60.0,1384.6667,1,0,news_enriched,0.007232,0.008849,-0.002343,0.019715,risk_on,unknown,low,0.587302,0.010218,,,0.007526,1.224992,-0.007078,0.006647
527,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,2,2026-02-20T21:00:00,replay,macro-001-openai,MacroBot (OpenAI),MacroBot,openai,gpt-5.4-mini,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.69,0,159,"Federal Reserve releases minutes for the January 27-28, 2026 FOMC meeting",0,0,0,,0,,0,0,,,,,,,,SPY,689.43,682.39,-0.01021133,,,27,27,0,0,2,6,1,7,BEA;Federal Reserve;SEC EDGAR;benzinga.com;cnbc.com;fool.com;yahoo.com,60.0,1384.6667,1,0,news_enriched,0.007232,0.008849,-0.002343,0.019715,risk_on,unknown,low,0.587302,,,,,,,
150,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,3,2026-02-23T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.3,0,239,Prediction Markets Are 95% Sure Nvidia Will Beat Earnings -- Here's What That Means for Investors | The Motley Fool,0,0,0,,0,,0,0,,,,,,,,SPY,682.39,687.35,0.00726857,,,35,35,0,0,2,9,4,5,BEA;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,2536.931,1,0,news_enriched,-0.010211,-0.012155,0.003691,0.027016,risk_off,unknown,low,0.365079,,,,,,,
151,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,3,2026-02-23T21:00:00,replay,bear-001-claude,BearBot (Claude),BearBot,claude,claude-sonnet-5,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,NVDA,100,,0.6,1,141,Prediction Markets Are 95% Sure Nvidia Will Beat Earnings -- Here's What That Means for Investors | The Motley Fool,0,0,1,1,0,approved,0,0,,191.55,192.85,0.00678674,-0.00678674,0,-130.000005,SPY,682.39,687.35,0.00726857,-0.01405531,0,35,35,0,2,2,9,4,5,BEA;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,2536.931,1,0,news_enriched,-0.010211,-0.012155,0.003691,0.027016,risk_off,unknown,low,0.365079,0.009114,,,0.005853,1.095861,0.008324,0.011819
152,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,3,2026-02-23T21:00:00,replay,macro-001-claude,MacroBot (Claude),MacroBot,claude,claude-sonnet-5,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.0,0,36,,0,0,0,,0,,0,0,,,,,,,,SPY,682.39,687.35,0.00726857,,,35,35,0,0,2,9,4,5,BEA;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,2536.931,1,0,news_enriched,-0.010211,-0.012155,0.003691,0.027016,risk_off,unknown,low,0.365079,,,,,,,
528,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,3,2026-02-23T21:00:00,replay,analyst-001-openai,AnalystBot (OpenAI),AnalystBot,openai,gpt-5.4-mini,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.84,0,151,[fool.com] Prediction Markets Are 95% Sure Nvidia Will Beat Earnings -- Here's What That Means for Investors | The Motley Fool,0,0,0,,0,,0,0,,,,,,,,SPY,682.39,687.35,0.00726857,,,35,35,0,0,2,9,4,5,BEA;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,2536.931,1,0,news_enriched,-0.010211,-0.012155,0.003691,0.027016,risk_off,unknown,low,0.365079,,,,,,,
529,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,3,2026-02-23T21:00:00,replay,bear-001-openai,BearBot (OpenAI),BearBot,openai,gpt-5.4-mini,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,NVDA,100,,0.74,0,173,Prediction Markets Are 95% Sure Nvidia Will Beat Earnings -- Here's What That Means for Investors | The Motley Fool,0,0,1,1,0,approved,0,0,,191.55,192.85,0.00678674,-0.00678674,0,-130.000005,SPY,682.39,687.35,0.00726857,-0.01405531,0,35,35,0,2,2,9,4,5,BEA;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,2536.931,1,0,news_enriched,-0.010211,-0.012155,0.003691,0.027016,risk_off,unknown,low,0.365079,0.009114,,,0.005853,1.095861,0.008324,0.011819
530,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,3,2026-02-23T21:00:00,replay,macro-001-openai,MacroBot (OpenAI),MacroBot,openai,gpt-5.4-mini,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.0,0,36,,0,0,0,,0,,0,0,,,,,,,,SPY,682.39,687.35,0.00726857,,,35,35,0,0,2,9,4,5,BEA;SEC EDGAR;benzinga.com;fool.com;yahoo.com,60.0,2536.931,1,0,news_enriched,-0.010211,-0.012155,0.003691,0.027016,risk_off,unknown,low,0.365079,,,,,,,
153,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,4,2026-02-24T21:00:00,replay,analyst-001-claude,AnalystBot (Claude),AnalystBot,claude,claude-sonnet-5,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.2,0,172,,0,0,0,,0,,0,0,,,,,,,,SPY,687.35,693.15,0.0084382,,,41,41,0,0,1,10,4,4,SEC EDGAR;benzinga.com;fool.com;yahoo.com,56.0,2286.2759,1,0,news_enriched,0.007269,0.010741,0.001783,-0.013859,risk_on,unknown,low,0.698413,,,,,,,
154,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,4,2026-02-24T21:00:00,replay,bear-001-claude,BearBot (Claude),BearBot,claude,claude-sonnet-5,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,NVDA,100,,0.62,1,180,us claims chinas deepseek used banned nvidia blackwell chips,0,0,1,1,0,approved,0,0,,192.85,195.56,0.01405237,-0.01405237,0,-270.999955,SPY,687.35,693.15,0.0084382,-0.02249057,0,41,41,0,2,1,10,4,4,SEC EDGAR;benzinga.com;fool.com;yahoo.com,56.0,2286.2759,1,0,news_enriched,0.007269,0.010741,0.001783,-0.013859,risk_on,unknown,low,0.698413,0.006787,,,0.004785,1.092286,-0.000313,0.014893
155,1a1ccc04-83d5-4943-803a-0b0916e33658,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [claude],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,4,2026-02-24T21:00:00,replay,macro-001-claude,MacroBot (Claude),MacroBot,claude,claude-sonnet-5,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.5,0,164,,0,0,0,,0,,0,0,,,,,,,,SPY,687.35,693.15,0.0084382,,,41,41,0,0,1,10,4,4,SEC EDGAR;benzinga.com;fool.com;yahoo.com,56.0,2286.2759,1,0,news_enriched,0.007269,0.010741,0.001783,-0.013859,risk_on,unknown,low,0.698413,,,,,,,
531,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,4,2026-02-24T21:00:00,replay,analyst-001-openai,AnalystBot (OpenAI),AnalystBot,openai,gpt-5.4-mini,competitive-v2,54bef7d9a295a6f8a2e573e2421e82f8bf43d95d39289c4c5f8e4ad575d57ffd,HOLD,,,,0.0,1,189,Prediction Markets Are 95% Sure Nvidia Will Beat Earnings -- Here,0,0,0,,0,,0,0,,,,,,,,SPY,687.35,693.15,0.0084382,,,41,41,0,0,1,10,4,4,SEC EDGAR;benzinga.com;fool.com;yahoo.com,56.0,2286.2759,1,0,news_enriched,0.007269,0.010741,0.001783,-0.013859,risk_on,unknown,low,0.698413,,,,,,,
532,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,4,2026-02-24T21:00:00,replay,bear-001-openai,BearBot (OpenAI),BearBot,openai,gpt-5.4-mini,competitive-v2,2d673f86c624de5bfc6ae1af260c14dd5e453c7d1502001af667ff58e2bff496,SELL,NVDA,100,,0.84,0,149,us claims chinas deepseek used banned nvidia blackwell chips,0,0,1,1,0,approved,0,0,,192.85,195.56,0.01405237,-0.01405237,0,-270.999955,SPY,687.35,693.15,0.0084382,-0.02249057,0,41,41,0,2,1,10,4,4,SEC EDGAR;benzinga.com;fool.com;yahoo.com,56.0,2286.2759,1,0,news_enriched,0.007269,0.010741,0.001783,-0.013859,risk_on,unknown,low,0.698413,0.006787,,,0.004785,1.092286,-0.000313,0.014893
533,4de08543-6a78-4624-9aa8-7921d209ce75,six_month_daily_backfilled_large_cap_2026-02-18_2026-08-18 [openai],completed,913a986d59ffa5c7de375b5cfe0507c994b821d7550f59a2cb8c3602aee14329,4,2026-02-24T21:00:00,replay,macro-001-openai,MacroBot (OpenAI),MacroBot,openai,gpt-5.4-mini,competitive-v2,fea9e7fef2669386f3f29a06f796b7d858a331fc166dec6cd7d885a1b86b858c,HOLD,,,,0.9,0,154,,0,0,0,,0,,0,0,,,,,,,,SPY,687.35,693.15,0.0084382,,,41,41,0,0,1,10,4,4,SEC EDGAR;benzinga.com;fool.com;yahoo.com,56.0,2286.2759,1,0,news_enriched,0.007269,0.010741,0.001783,-0.013859,risk_on,unknown,low,0.698413,,,,,,,
